DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
01/03/2019,30.40,HDB,30.00,30.45,30.00,963400.00
28/02/2019,30.00,HDB,30.60,30.60,30.00,1478660.00
27/02/2019,30.60,HDB,30.65,30.75,30.50,951480.00
26/02/2019,30.65,HDB,31.00,31.05,30.45,1122230.00
25/02/2019,31.00,HDB,30.20,31.10,30.20,1776680.00
22/02/2019,30.10,HDB,29.80,30.50,29.65,1237000.00
21/02/2019,29.80,HDB,29.70,29.95,29.40,1427590.00
20/02/2019,29.70,HDB,30.00,30.00,29.70,840490.00
19/02/2019,30.00,HDB,30.60,30.60,29.75,1535000.00
18/02/2019,30.60,HDB,30.40,30.65,30.15,1482140.00
15/02/2019,30.40,HDB,30.80,30.80,30.20,1126100.00
14/02/2019,30.80,HDB,31.10,31.25,30.60,944710.00
13/02/2019,31.20,HDB,31.15,31.50,31.10,1299260.00
12/02/2019,31.10,HDB,30.65,31.30,30.60,1889530.00
11/02/2019,30.65,HDB,30.60,30.70,30.40,1150140.00
01/02/2019,30.50,HDB,30.50,30.60,30.30,1336610.00
31/01/2019,30.50,HDB,30.10,30.50,30.10,762510.00
30/01/2019,30.00,HDB,30.00,30.05,29.85,768110.00
29/01/2019,30.00,HDB,30.00,30.05,29.85,934570.00
28/01/2019,30.00,HDB,29.95,30.10,29.80,876970.00
25/01/2019,29.95,HDB,30.00,30.10,29.80,891440.00
24/01/2019,29.95,HDB,30.00,30.15,29.70,725150.00
23/01/2019,30.00,HDB,30.00,30.30,29.95,850650.00
22/01/2019,30.10,HDB,29.70,30.35,29.70,1369310.00
21/01/2019,29.65,HDB,29.15,29.70,29.10,1233280.00
18/01/2019,29.10,HDB,29.00,29.40,28.90,1417600.00
17/01/2019,28.90,HDB,29.20,29.20,28.90,998480.00
16/01/2019,29.20,HDB,29.20,29.20,28.90,895390.00
15/01/2019,29.20,HDB,29.20,29.25,28.95,717930.00
14/01/2019,29.10,HDB,29.20,29.40,28.90,715340.00
11/01/2019,29.20,HDB,29.00,29.50,28.95,2231760.00
10/01/2019,29.00,HDB,28.95,29.10,28.95,1859370.00
09/01/2019,28.90,HDB,28.60,29.10,28.60,1246940.00
08/01/2019,28.50,HDB,28.90,28.95,28.00,1063470.00
07/01/2019,28.90,HDB,29.00,29.50,28.50,727640.00
